********* -------- ************ --------- ********
1. Average Pages Per Minute: 2518.25
2. Average Pages Per Session for each IP: 
For IP: 12.36.121.83 average pages per session = 2.0
For IP: 72.253.182.25 average pages per session = 1.0
For IP: 98.207.107.243 average pages per session = 1.0
For IP: 162.198.187.9 average pages per session = 2.0
For IP: 173.65.242.179 average pages per session = 1.0
For IP: 72.197.190.222 average pages per session = 1.0
For IP: 74.113.138.5 average pages per session = 1.0
For IP: 66.249.65.121 average pages per session = 1.0
For IP: 82.166.164.249 average pages per session = 1.0
For IP: 64.231.136.102 average pages per session = 1.0
For IP: 66.87.125.95 average pages per session = 11.0
For IP: 63.239.65.11 average pages per session = 1.0
For IP: 151.191.175.194 average pages per session = 8.0
For IP: 52.91.157.198 average pages per session = 5.0
For IP: 173.74.200.4 average pages per session = 1.0
For IP: 54.173.19.51 average pages per session = 1.0
For IP: 65.32.57.106 average pages per session = 4.0
For IP: 66.87.121.145 average pages per session = 14.0
For IP: 207.195.80.29 average pages per session = 21.0
For IP: 54.152.208.92 average pages per session = 1.0
For IP: 185.101.71.142 average pages per session = 2.0
For IP: 24.197.164.68 average pages per session = 11.0
For IP: 216.178.109.82 average pages per session = 1.0
For IP: 107.10.250.126 average pages per session = 1.0
For IP: 206.16.134.51 average pages per session = 3.0
For IP: 206.16.134.52 average pages per session = 3.0
For IP: 66.87.114.191 average pages per session = 11.0
For IP: 208.99.166.84 average pages per session = 19.0
For IP: 206.16.134.53 average pages per session = 5.0
For IP: 97.84.151.3 average pages per session = 3.0
For IP: 206.16.134.25 average pages per session = 2.0
For IP: 81.133.144.156 average pages per session = 1.0
For IP: 206.16.134.26 average pages per session = 2.0
For IP: 206.16.134.23 average pages per session = 2.0
For IP: 206.16.134.29 average pages per session = 3.0
For IP: 206.16.134.27 average pages per session = 1.0
For IP: 38.104.204.146 average pages per session = 1.0
For IP: 72.168.177.196 average pages per session = 1.0
For IP: 206.16.134.28 average pages per session = 2.0
For IP: 24.61.189.78 average pages per session = 24.0
For IP: 54.165.32.60 average pages per session = 1.0
For IP: 73.172.177.26 average pages per session = 1.0
For IP: 162.204.109.184 average pages per session = 1.0
For IP: 71.87.230.31 average pages per session = 1.0
For IP: 73.151.91.63 average pages per session = 2.0
